"yearend","entityid","entityname","bundleguid","filename","lastmodified","owner_","group_","form","id","ovr","type","data","cwguid","cwdate","createdon"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","""GI1_4_TAB1_PARA1""","Y","C","","Izigpn+v-E8Hqd8n51mmqC","20191205051731","20191205051731"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_ASSRT_C","Y","C","V","OAcnA6LFH02ETLGmZF+byA","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_ASSRT_D","Y","C","","DVCKc2DY7U0HWmpTXlI5eA","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_ASSRT_E","Y","C","","C8TwGBlK64xAhfeHauWBiM","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_ASSRT_F","Y","C","","C+cJ9QqXOE2MYPvLOVZfSP","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_ASSRT_G","Y","C","","JWwNgLju9w+Crkd8N7BReB","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_ASSRT_H","Y","C","","I4XPq5ZMKo5KbKUgfe4kiC","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_ASSRT_I","Y","C","","Kn1r-qtU5c0Kqlx6eT7LaN","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_ASSRT_J","Y","C","","FauyKtydy0xD6GYT6JlECJ","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_FSA_C","Y","C","AR","EC1e8lWXAg+Cq5okw-CMSF","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_FSA_D","Y","C","Inv","PAFYLP-FjU0Ctlxrq0-2CC","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_FSA_E","Y","C","Tax","ENbsgeXW2gzNZkPvpbD42H","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_FSA_F","Y","C","","AND9jwfk+85LTxlnsHtcqM","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","513_FSA_J","Y","C","Sales","K2t6XIALWsxHCeOJ8ALu+E","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","565_BI_C3_R10","Y","C","","B5VaF9qE6w7PSAdXulyteJ","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","565_BI_C3_R12","Y","C","","LowbLvalRk7K8apnz0K+eO","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","565_BI_C3_R2","Y","C","","O4ALgnw4886FomQbHwEC6P","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","565_BI_C3_R4","Y","C","","JXOnwJYQTI5HxqhK9nAb+B","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","565_BI_C3_R6","Y","C","","O2Yie+sQRc+J+ugN3TTuaL","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","565_BI_C3_R8","Y","C","","MTxTvKJreczFcHuQC+Qc6J","20191205051732","20191205051732"
"2019","1","Avant_Garde_Appraisal_Group","e9448427-4cb9-479e-b257-a448286aa6c5","client_cv.ac","2020-02-22","","","","AB010040_010","Y","C","PR","BPWVCkAHDkyHC03myalRGE","20191205051732","20191205051732"
